"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"SRR17635459","99,999","98,240","4,338","0","1,759","93,898","93,882","6","0","0"
"SRR17635460","99,995","94,111","28,990","0","5,884","65,120","65,058","19","0","0"
"SRR17635461","99,995","95,579","63,202","0","4,416","32,368","32,317","7","0","0"
"SRR17635534","99,995","98,003","54,905","0","1,992","43,092","43,072","0","0","0"
"SRR17635579","100,000","97,105","42,788","0","2,895","54,306","54,264","6","0","0"
